904834,SCOTCH WHISKIES,Double Barrel,456,Spirit Imports Inc.,750,2,1,,92,7/22/2010 0:00,,,$41.01 ,61.52,82.02
904835,SCOTCH WHISKIES,Mcgibbon's Golf Driver,456,Spirit Imports Inc.,750,6,1,,86,7/22/2010 0:00,,,$61.12 ,91.68,366.7
904836,STRAIGHT BOURBON WHISKIES,Bookers Bourbon (DO NOT USE),65,Jim Beam Brands,750,6,1,,128,4/19/2010 0:00,,1.00807E+13,$29.91 ,44.87,179.46
904837,STRAIGHT BOURBON WHISKIES,Wild Turkey Rare Breed,461,Campari(skyy),750,6,1,,108,7/20/2010 0:00,7.21059E+11,1.07211E+13,$20.18 ,30.28,121.1
904838,SCOTCH WHISKIES,Classic Cask- Rare Scotch,456,Spirit Imports Inc.,750,2,1,,86,7/22/2010 0:00,,,$182.35 ,273.53,364.7
904839,SINGLE MALT SCOTCH,Tamdhu 8yr Scotch,127,Classic Wine Imports,750,6,1,,86,7/22/2010 0:00,,,$26.95 ,40.43,161.7
904840,SINGLE MALT SCOTCH,Classic Cask- Strathmill 1974,456,Spirit Imports Inc.,750,2,1,,85,7/22/2010 0:00,,,$167.35 ,251.03,334.7
904841,IMPORTED VODKA,Effen Raspberry Vanilla Vodka,65,Jim Beam Brands,750,6,1,,70,8/6/2010 0:00,,1.00807E+13,$12.46 ,18.69,74.74
904842,MISC. AMERICAN CORDIALS & LIQUEURS,Hiram Walker Kirschwasser,370,Pernod Ricard Usa/austin Nichols,200,48,1,,90,8/12/2010 0:00,,1.00895E+13,$0.99 ,1.48,47.51
904843,SINGLE MALT SCOTCH,Glenrothes 8yr Scotch,127,Classic Wine Imports,750,6,1,,86,7/22/2010 0:00,,,$26.95 ,40.43,161.7
904844,MISC. IMPORTED CORDIALS & LIQUEURS,Cynar,461,Campari(skyy),1000,12,1,,33,8/12/2010 0:00,8.87341E+11,904844,$12.91 ,19.37,154.94
904845,MISC. IMPORTED CORDIALS & LIQUEURS,Schwartzhog Krauter Liqueur,459,Surville Enterprises Corp,750,6,1,,73,8/12/2010 0:00,,1.00967E+13,$9.17 ,13.75,55
904846,TEQUILA,Manik Blanco,286,Jalixco Trading Co. Llc,750,6,1,,80,7/26/2010 0:00,,,$20.00 ,30,120
904847,FLAVORED RUM,Malibu Passion Fruit,370,Pernod Ricard Usa/austin Nichols,200,48,1,,42,8/17/2010 0:00,,,$1.90 ,2.85,91.2
904848,AMERICAN COCKTAILS,Ice Box Margarita,298,White Rock Distilleries Inc.,1750,6,1,,40,8/12/2010 0:00,,,$6.50 ,9.75,39
